varName;Deutsch;English;useInRule_1;Col5;Col6;Col7;Col8;shortNames;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17
F1000_002;fuﬂl‰ufig zum n‰chsten Hydrant;walking to the next hydrant;0;F;1000_002;zum n‰chsten;Hydrant;Hydrant;;to the next;Hydrant;hydrant;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1000_003;fuﬂl‰ufig zum n‰chsten Katastrophenschutz;walking to the next disaster control;0;F;1000_003;zum n‰chsten;Katastrophenschutz;Katastrophenschutz;;to the next;Disaster control;disaster control;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1000_004;fuﬂl‰ufig zur n‰chsten Polizei;walking to the next police station;0;F;1000_004;zur n‰chsten;Polizei;Polizei;;to the next;Police station;police station;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F1000_005;fuﬂl‰ufig zum n‰chsten Rathaus;walking to the next city hall;0;F;1000_005;zum n‰chsten;Rathaus;Rathaus;;to the next;City hall;city hall;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1000_006;fuﬂl‰ufig zum n‰chsten Recyclinghof/Sammelstelle;walking to the next recylcing site;0;F;1000_006;zum n‰chsten;RecyclinghofSammelstelle;Recyclinghof/Sammelstelle;;to the next;Recylcing site;recylcing site;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F1000_007;fuﬂl‰ufig zur n‰chsten ˆffentlichen Trinkwasserstelle;walking to the next public drinking water;0;F;1000_007;zur n‰chsten;OeffentlicheTrinkwasserstelle;ˆffentlichen Trinkwasserstelle;x;to the next;Public drinking water;public drinking water;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F2000_001;fuﬂl‰ufig zur n‰chsten Apotheke;walking to the next pharmacy;0;F;2000_001;zur n‰chsten;Apotheke;Apotheke;;to the next;Pharmacy;pharmacy;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F2000_002;fuﬂl‰ufig zum n‰chsten Arzt;walking to the next medical doctor;-0.8;F;2000_002;zum n‰chsten;Arzt;Arzt;;to the next;Medical doctor;medical doctor;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F2000_003;fuﬂl‰ufig zum n‰chsten Krankenhaus;walking to the next hospital;0;F;2000_003;zum n‰chsten;Krankenhaus;Krankenhaus;;to the next;Hospital;hospital;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F2000_004;fuﬂl‰ufig zur n‰chsten Pflegeeinrichtung;walking to the next healthcare center;0;F;2000_004;zur n‰chsten;Pflegeeinrichtung;Pflegeeinrichtung;;to the next;Healthcare center;healthcare center;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F3000_001;fuﬂl‰ufig zur n‰chsten Berufsschule;walking to the next vocational school;0;F;3000_001;zur n‰chsten;Berufsschule;Berufsschule;;to the next;Vocational school;vocational school;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F3000_002;fuﬂl‰ufig zum n‰chsten Forschungsinstitut;walking to the next research facility;0;F;3000_002;zum n‰chsten;Forschungsinstitut;Forschungsinstitut;;to the next;Research facility;research facility;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F3000_003;fuﬂl‰ufig zur n‰chsten Schule;walking to the next school;-0.8;F;3000_003;zur n‰chsten;Schule;Schule;;to the next;School;school;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F3000_004;fuﬂl‰ufig zur n‰chsten Hochschule;walking to the next university;0;F;3000_004;zur n‰chsten;Hochschule;Hochschule;;to the next;University;university;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F3000_005;fuﬂl‰ufig zum n‰chsten Kindergarten;walking to the next kindergarten;-0.8;F;3000_005;zum n‰chsten;Kindergarten;Kindergarten;;to the next;Kindergarten;kindergarten;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F3000_006;fuﬂl‰ufig zur n‰chsten Kita;walking to the next daycare center;-0.8;F;3000_006;zur n‰chsten;Kita;Kita;;to the next;Daycare center;daycare center;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F3000_007;fuﬂl‰ufig zur n‰chsten Tagesmutter;walking to the next daycare parent;0;F;3000_007;zur n‰chsten;Tagesmutter;Tagesmutter;;to the next;Daycare parent;daycare parent;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F3000_008;fuﬂl‰ufig zur n‰chsten Volkshochschule;walking to the next adult education center;0;F;3000_008;zur n‰chsten;Volkshochschule;Volkshochschule;;to the next;Adult education center;adult education center;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F4000_001;fuﬂl‰ufig zum n‰chsten Asylbewerberheim;walking to the next refugee shelter;0;F;4000_001;zum n‰chsten;Asylbewerberheim;Asylbewerberheim;;to the next;Refugee shelter;refugee shelter;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F4000_002;fuﬂl‰ufig zum n‰chsten Beratungsstelle/Hilfswerk;walking to the next social advice center;0;F;4000_002;zum n‰chsten;BeratungsstelleHilfswerk;Beratungsstelle/Hilfswerk;;to the next;Social advice center;social advice center;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F4000_003;fuﬂl‰ufig zum n‰chsten Familienzentrum;walking to the next family center;0;F;4000_003;zum n‰chsten;Familienzentrum;Familienzentrum;;to the next;Family center;family center;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F4000_004;fuﬂl‰ufig zum n‰chsten Jugendfreizeithaus;walking to the next youth center;0;F;4000_004;zum n‰chsten;Jugendfreizeithaus;Jugendfreizeithaus;;to the next;Youth center;youth center;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F4000_005;fuﬂl‰ufig zum n‰chsten Seniorentreff;walking to the next senior citizen center;0;F;4000_005;zum n‰chsten;Seniorentreff;Seniorentreff;;to the next;Senior citizen center;senior citizen center;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F4000_006;fuﬂl‰ufig zur n‰chsten Integrationshilfe;walking to the next integration advice center;0;F;4000_006;zur n‰chsten;Integrationshilfe;Integrationshilfe;;to the next;Integration advice center;integration advice center;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F4000_007;fuﬂl‰ufig zum n‰chsten Studentenwohnheim;walking to the next students dormitory;0;F;4000_007;zum n‰chsten;Studentenwohnheim;Studentenwohnheim;;to the next;Students dormitory;students dormitory;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F4000_008;fuﬂl‰ufig zum n‰chsten Verein;walking to the next association;0;F;4000_008;zum n‰chsten;Verein;Verein;;to the next;Association;association;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F5000_001;fuﬂl‰ufig zum n‰chsten Fernbahnhof;walking to the next train station;-0.8;F;5000_001;zum n‰chsten;Fernbahnhof;Fernbahnhof;;to the next;Train station;train station;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F5000_002;fuﬂl‰ufig zum n‰chsten Fernbusbahnhof;walking to the next bus station;-0.8;F;5000_002;zum n‰chsten;Fernbusbahnhof;Fernbusbahnhof;;to the next;Bus station;bus station;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F5000_003;fuﬂl‰ufig zum n‰chsten Flughafen;walking to the next airpot;0;F;5000_003;zum n‰chsten;Flughafen;Flughafen;;to the next;Airpot;airpot;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F5000_004;fuﬂl‰ufig zum n‰chsten PKW-Parkplatz;walking to the next parking lot;0;F;5000_004;zum n‰chsten;PKWParkplatz;PKW-Parkplatz;;to the next;Parking lot;parking lot;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F5000_005;fuﬂl‰ufig zur n‰chsten wichtigen Verkehrsengstelle;walking to the next important traffic bottleneck;0;F;5000_005;zur n‰chsten;wichtigeVerkehrsengstelle;wichtigen Verkehrsengstelle;x;to the next;Important traffic bottleneck;important traffic bottleneck;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F5000_006;fuﬂl‰ufig zur n‰chsten Bushaltestelle;walking to the next bus stop;-0.8;F;5000_006;zur n‰chsten;Bushaltestelle;Bushaltestelle;;to the next;Bus stop;bus stop;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F5000_007;fuﬂl‰ufig zur n‰chsten U-Bahn/Tram-Haltestelle;walking to the next subway/tram stop;-0.8;F;5000_007;zur n‰chsten;UBahnTramHaltestelle;U-Bahn/Tram-Haltestelle;;to the next;Subway/Tram stop;subway/tram stop;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F5000_008;fuﬂl‰ufig zum n‰chsten Fahrradparkplatz;walking to the next bicycle parking;0;F;5000_008;zum n‰chsten;Fahrradparkplatz;Fahrradparkplatz;;to the next;Bicycle parking;bicycle parking;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F5000_009;fuﬂl‰ufig zur n‰chsten Fahrradleihstation;walking to the next bicycle renting;0;F;5000_009;zur n‰chsten;FahrradLeihstation;Fahrradleihstation;;to the next;Bicycle renting;bicycle renting;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F5000_010;fuﬂl‰ufig zur n‰chsten Car Sharing Station;walking to the next car shring station;0;F;5000_010;zur n‰chsten;CarSharingStation;Car Sharing Station;;to the next;Car shring station;car shring station;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F5000_011;fuﬂl‰ufig zum n‰chsten S-/Regional-Bahnhof;walking to the next regional train station;-0.8;F;5000_011;zum n‰chsten;SundRegionalBahnhof;S-/Regional-Bahnhof;;to the next;Regional train station;regional train station;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F5000_012;fuﬂl‰ufig zur n‰chsten Elektroladestation;walking to the next electric mobility recharge station;0;F;5000_012;zur n‰chsten;Elektroladestation;Elektroladestation;;to the next;Electric mobility recharge station;electric mobility recharge station;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F5000_013;fuﬂl‰ufig zur n‰chsten Tankstelle;walking to the next gas station;0;F;5000_013;zur n‰chsten;Tankstelle;Tankstelle;;to the next;Gas station;gas station;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F5000_014;fuﬂl‰ufig zum n‰chsten Taxistand;walking to the next cab station;0;F;5000_014;zum n‰chsten;Taxistand;Taxistand;;to the next;Cab station;cab station;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_001;fuﬂl‰ufig zum n‰chsten Aussichtspunkt;walking to the next view point;0;F;6000_001;zum n‰chsten;Aussichtspunkt;Aussichtspunkt;;to the next;View point;view point;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_002;fuﬂl‰ufig zur n‰chsten Bar/Kneipe;walking to the next bar/pub;-0.8;F;6000_002;zur n‰chsten;BarKneipe;Bar/Kneipe;;to the next;Bar/Pub;bar/pub;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F6000_003;fuﬂl‰ufig zur n‰chsten Bibliothek/Buchhandlung;walking to the next library/book store;0;F;6000_003;zur n‰chsten;BibliothekBuchhandlung;Bibliothek/Buchhandlung;;to the next;Library/Book store;library/book store;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F6000_004;fuﬂl‰ufig zum n‰chsten Club;walking to the next club;0;F;6000_004;zum n‰chsten;Club;Club;;to the next;Club;club;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_005;fuﬂl‰ufig zum n‰chsten Friedhof;walking to the next cementery;0;F;6000_005;zum n‰chsten;Friedhof;Friedhof;;to the next;Cementery;cementery;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_006;fuﬂl‰ufig zur n‰chsten Galerie;walking to the next gallery;0;F;6000_006;zur n‰chsten;Galerie;Galerie;;to the next;Gallery;gallery;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F6000_007;fuﬂl‰ufig zum n‰chsten Gotteshaus;walking to the next church/religious facility;-0.8;F;6000_007;zum n‰chsten;Gotteshaus;Gotteshaus;;to the next;Church/Religious facility;church/religious facility;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_008;fuﬂl‰ufig zum n‰chsten Jagd-/Fischereigebiet;walking to the next hunting/fishing zone;0;F;6000_008;zum n‰chsten;JagdundFischereigebiet;Jagd-/Fischereigebiet;;to the next;Hunting/Fishing zone;hunting/fishing zone;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_009;fuﬂl‰ufig zum n‰chsten Kino;walking to the next cinema;0;F;6000_009;zum n‰chsten;Kino;Kino;;to the next;Cinema;cinema;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_010;fuﬂl‰ufig zum n‰chsten Museum;walking to the next museum;0;F;6000_010;zum n‰chsten;Museum;Museum;;to the next;Museum;museum;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_011;fuﬂl‰ufig zum n‰chsten Park;walking to the next park;-0.8;F;6000_011;zum n‰chsten;Park;Park;;to the next;Park;park;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_012;fuﬂl‰ufig zum n‰chsten Restaurant/CafÈ;walking to the next restaurant/cafÈ;-0.8;F;6000_012;zum n‰chsten;RestaurantCafe;Restaurant/CafÈ;;to the next;Restaurant/CafÈ;restaurant/cafÈ;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_013;fuﬂl‰ufig zum n‰chsten Schwimmbad/Badestelle;walking to the next swiming pool/site;0;F;6000_013;zum n‰chsten;SchwimmbadBadestelle;Schwimmbad/Badestelle;;to the next;Swiming pool/site;swiming pool/site;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_014;fuﬂl‰ufig zur n‰chsten Sehensw¸rdigkeit;walking to the next sight;0;F;6000_014;zur n‰chsten;Sehenswuerdigkeit;Sehensw¸rdigkeit;;to the next;Sight;sight;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
F6000_016;fuﬂl‰ufig zum n‰chsten Spielplatz;walking to the next playground;0;F;6000_016;zum n‰chsten;Spielplatz;Spielplatz;;to the next;Playground;playground;fuﬂl‰ufig;fuﬂl‰ufig zum n‰chsten;walking;walking to the next
F6000_017;fuﬂl‰ufig zur n‰chsten Sportst‰tte;walking to the next sports;-0.8;F;6000_017;zur n‰chsten;Sportstaette;Sportst‰tte;;to the next;Sports;sports;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
